
 JOB1 

 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . . . . (NUMNP)  =        133 
      NUMBER OF ELEMENT GROUPS . . . . . . . . . (NUMEG)  =          1 
      NUMBER OF LOAD CASES . . . . . . . . . . . (NLCASE) =          1 
      SOLUTION MODE  . . . . . . . . . . . . . . (MODEX)  =          2 
         EQ.0, DATA CHECK 
         EQ.1, EXECUTION


 N O D A L   P O I N T   D A T A 

       NODE          BOUNDARY                         NODAL POINT
      NUMBER     CONDITION  CODES                     COORDINATES
                    X    Y    Z               X            Y            Z
          N                  X         Y         Z
          1                  1         2         0
          2                  3         4         0
          3                  5         6         0
          4                  0         0         0
          5                  0         0         0
          6                  7         8         0
          7                  9        10         0
          8                 11        12         0
          9                 13        14         0
         10                 15        16         0
         11                 17        18         0
         12                 19        20         0
         13                 21        22         0
         14                 23        24         0
         15                 25        26         0
         16                 27        28         0
         17                 29        30         0
         18                 31        32         0
         19                 33        34         0
         20                 35        36         0
         21                 37        38         0
         22                 39        40         0
         23                  0         0         0
         24                  0         0         0
         25                  0         0         0
         26                  0         0         0
         27                 41        42         0
         28                 43        44         0
         29                 45        46         0
         30                 47        48         0
         31                 49        50         0
         32                 51        52         0
         33                 53        54         0
         34                 55        56         0
         35                 57        58         0
         36                 59        60         0
         37                 61        62         0
         38                 63        64         0
         39                 65        66         0
         40                 67        68         0
         41                 69        70         0
         42                 71        72         0
         43                 73        74         0
         44                 75        76         0
         45                 77        78         0
         46                 79        80         0
         47                 81        82         0
         48                 83        84         0
         49                 85        86         0
         50                 87        88         0
         51                 89        90         0
         52                 91        92         0
         53                 93        94         0
         54                 95        96         0
         55                 97        98         0
         56                 99       100         0
         57                101       102         0
         58                103       104         0
         59                105       106         0
         60                107       108         0
         61                109       110         0
         62                111       112         0
         63                113       114         0
         64                115       116         0
         65                117       118         0
         66                119       120         0
         67                121       122         0
         68                123       124         0
         69                125       126         0
         70                127       128         0
         71                  0         0         0
         72                129       130         0
         73                  0         0         0
         74                131       132         0
         75                133       134         0
         76                135       136         0
         77                137       138         0
         78                139       140         0
         79                141       142         0
         80                143       144         0
         81                145       146         0
         82                147       148         0
         83                149       150         0
         84                151       152         0
         85                153       154         0
         86                155       156         0
         87                157       158         0
         88                159       160         0
         89                161       162         0
         90                163       164         0
         91                165       166         0
         92                167       168         0
         93                169       170         0
         94                171       172         0
         95                173       174         0
         96                175       176         0
         97                177       178         0
         98                179       180         0
         99                181       182         0
        100                183       184         0
        101                  0         0         0
        102                185       186         0
        103                187       188         0
        104                189       190         0
        105                  0         0         0
        106                191       192         0
        107                193       194         0
        108                  0         0         0
        109                195       196         0
        110                197       198         0
        111                199       200         0
        112                201       202         0
        113                203       204         0
        114                205       206         0
        115                207       208         0
        116                209       210         0
        117                211       212         0
        118                213       214         0
        119                215       216         0
        120                217       218         0
        121                219       220         0
        122                221       222         0
        123                223       224         0
        124                225       226         0
        125                227       228         0
        126                229       230         0
        127                231       232         0
        128                233       234         0
        129                235       236         0
        130                237       238         0
        131                239       240         0
        132                241       242         0
        133                243       244         0


 L O A D   C A S E   D A T A

     LOAD CASE NUMBER . . . . . . . =          1
     NUMBER OF CONCENTRATED LOADS . =         13


        NODE       DIRECTION      LOAD
       NUMBER                   MAGNITUDE
         8            2        1.00000e+00 
       120            2        4.00000e+00 
        34            2        2.00000e+00 
       118            2        4.00000e+00 
        33            2        2.00000e+00 
        83            2        4.00000e+00 
        32            2        2.00000e+00 
        89            2        4.00000e+00 
        31            2        2.00000e+00 
        95            2        4.00000e+00 
        30            2        2.00000e+00 
       133            2        4.00000e+00 
         7            2        1.00000e+00 


 E L E M E N T   G R O U P   D A T A


 E L E M E N T   D E F I N I T I O N

 ELEMENT TYPE  . . . . . . . . . . . . .( NPAR(1) ) . . =          3
     EQ.1, TRUSS ELEMENTS
     EQ.2, ELEMENTS CURRENTLY
     EQ.3, NOT AVAILABLE
 NUMBER OF ELEMENTS. . . . . . . . . . .( NPAR(2) ) . . =         32

 M A T E R I A L   D E F I N I T I O N

 NUMBER OF DIFFERENT SETS OF MATERIAL
 AND CROSS-SECTIONAL  CONSTANTS  . . . .( NPAR(3) ) . . =          1
  SET       YOUNG'S       POISSON'S         GAUSS NUMERICAL  
 NUMBER     MODULUS         RATIO       INTEGRATION ORDER 
               E              PR                  NINT 
    1     1.00000e+05        0.2         7.900000e+00 


 E L E M E N T   I N F O R M A T I O N

      ELEMENT          NODE        NODE        NODE        NODE              NODE        NODE        NODE        NODE      MATERIAL
      NUMBER-N           I           J           K           L          A          B           C         D       SET NUMBER
         1              49          36           1           9         52          53          54          55           1
         2              37          11          12          40         56          57          58          59           1
         3              14          38          13           3         60          61          62          63           1
         4              41          15          16          42         64          65          66          67           1
         5              24          47          51          23         68          69          70          71           1
         6              39          25          26          50         72          73          74          75           1
         7               2          10          49           9         76          77          55          78           1
         8              38          40          12          13         79          58          80          61           1
         9              15          41          38          14         64          81          60          82           1
        10              32          33          48          43         83          84          85          86           1
        11              43          44          31          32         87          88          89          86           1
        12              19          44          43          18         90          87          91          92           1
        13              44          45          30          31         93          94          95          88           1
        14              20          45          44          19         96          93          90          97           1
        15              21          46          45          20         98          99          96         100           1
        16               4          23          51          22        101          70         102         103           1
        17              25          39          47          24         72         104          68         105           1
        18               5          27          50          26        106         107          74         108           1
        19               6          28          50          27        109         110         107         111           1
        20              29           7          47          39        112         113         104         114           1
        21              51          47           7          46         69         113         115         116           1
        22              42          48          33          34        117          84         118         119           1
        23              41          42          34           8         67         119         120         121           1
        24              38          41           8          40         81         121         122          79           1
        25              49          37          35          36        123         124         125          52           1
        26              11          37          49          10         56         123          77         126           1
        27              28          29          39          50        127         114          75         110           1
        28              35          37          40           8        124          59         122         128           1
        29              42          16          17          48         66         129         130         117           1
        30              48          17          18          43        130         131          91          85           1
        31              46          21          22          51         98         132         102         116           1
        32               7          30          45          46        133          94          99         115           1
