
 PoreSC 

 C O N T R O L   I N F O R M A T I O N

      NUMBER OF NODAL POINTS . . . . . . . . . . (NUMNP)  =        713 
      NUMBER OF ELEMENT GROUPS . . . . . . . . . (NUMEG)  =          1 
      NUMBER OF LOAD CASES . . . . . . . . . . . (NLCASE) =          1 
      SOLUTION MODE  . . . . . . . . . . . . . . (MODEX)  =          2 
         EQ.0, DATA CHECK 
         EQ.1, EXECUTION


 N O D A L   P O I N T   D A T A 

       NODE          BOUNDARY                         NODAL POINT
      NUMBER     CONDITION  CODES                     COORDINATES
                    X    Y    Z               X            Y            Z
       139          0    0    1              0.389        0.315        0.000
       140          0    0    1              0.409        0.314        0.000
       141          0    0    1              0.419        0.272        0.000
       142          0    0    1              0.424        0.293        0.000
       143          0    0    1              0.428        0.312        0.000
       144          0    0    1              0.031        0.520        0.000
       145          0    0    1              0.054        0.541        0.000
       146          0    0    1              0.122        0.550        0.000
       147          0    0    1              0.078        0.557        0.000
       148          0    0    1              0.101        0.566        0.000
       149          0    0    1              0.119        0.569        0.000
       150          0    0    1              0.019        0.542        0.000
       151          1    0    1              0.000        0.563        0.000
       152          0    0    1              0.147        0.565        0.000
       153          0    0    1              0.297        0.487        0.000
       154          0    0    1              0.290        0.516        0.000
       155          0    0    1              0.273        0.542        0.000
       156          0    0    1              0.246        0.563        0.000
       157          0    0    1              0.205        0.567        0.000
       158          0    0    1              0.173        0.580        0.000
       159          0    0    1              0.328        0.495        0.000
       160          0    0    1              0.380        0.325        0.000
       161          0    0    1              0.384        0.345        0.000
       162          0    0    1              0.387        0.367        0.000
       163          0    0    1              0.390        0.388        0.000
       164          0    0    1              0.396        0.408        0.000
       165          0    0    1              0.369        0.413        0.000
       166          0    0    1              0.347        0.424        0.000
       167          0    0    1              0.350        0.454        0.000
       168          0    0    1              0.364        0.495        0.000
       169          0    0    1              0.426        0.261        0.000
       170          0    0    1              0.401        0.324        0.000
       171          0    0    1              0.421        0.323        0.000
       172          0    0    1              0.432        0.282        0.000
       173          0    0    1              0.436        0.303        0.000
       174          0    0    1              0.439        0.321        0.000
